abbrev,conference,seed,p_r1_win,p_r2_win,p_cf_win,p_champion
DET,EAST,1,0.9575,0.75775,0.4290833333333333,0.19575
BOS,EAST,2,0.9388333333333333,0.585,0.30575,0.13
NYK,EAST,3,0.7419166666666667,0.3545833333333333,0.17283333333333334,0.06683333333333333
CLE,EAST,4,0.49533333333333335,0.10141666666666667,0.029916666666666668,0.006666666666666667
TOR,EAST,5,0.5046666666666667,0.12066666666666667,0.03575,0.009166666666666667
ATL,EAST,6,0.25808333333333333,0.069,0.0235,0.00675
PHI,EAST,7,0.06116666666666667,0.005583333333333333,0.0011666666666666668,8.333333333333333e-5
CHA,EAST,8,0,0,0,0
ORL,EAST,8,0.0425,0.006,0.002,3.333333333333333e-4
OKC,WEST,1,0.9586666666666667,0.8644166666666667,0.5596666666666666,0.365
SAS,WEST,2,0.9676666666666667,0.7768333333333334,0.34958333333333336,0.19466666666666665
DEN,WEST,3,0.7176666666666667,0.17625,0.04683333333333333,0.014666666666666666
LAL,WEST,4,0.14516666666666667,0.004916666666666666,4.166666666666667e-4,8.333333333333333e-5
HOU,WEST,5,0.8548333333333333,0.14,0.03375,0.0085
MIN,WEST,6,0.2823333333333333,0.029666666666666668,0.006333333333333333,0.0010833333333333333
POR,WEST,7,0.03233333333333333,0.0016666666666666668,5.833333333333334e-4,8.333333333333333e-5
GSW,WEST,8,0,0,0,0
PHX,WEST,8,0.04133333333333333,0.00625,0.0028333333333333335,3.333333333333333e-4
